iter	Passed	Remaining
0	151	150874
1	151	75839
2	152	50796
3	153	38255
4	154	30748
5	155	25735
6	156	22143
7	156	19456
8	157	17366
9	158	15697
10	159	14327
11	160	13181
12	160	12222
13	162	11431
14	163	10712
15	163	10079
16	164	9534
17	165	9054
18	166	8615
19	167	8230
20	170	7940
21	171	7612
22	172	7322
23	173	7041
24	173	6780
25	174	6540
26	175	6317
27	176	6111
28	176	5918
29	177	5738
30	178	5569
31	178	5412
32	179	5266
33	180	5124
34	181	4990
35	181	4864
36	182	4744
37	182	4632
38	183	4526
39	184	4426
40	185	4329
41	185	4237
42	186	4153
43	187	4068
44	187	3988
45	188	3911
46	189	3837
47	189	3766
48	190	3698
49	191	3635
50	192	3572
51	192	3512
52	193	3456
53	194	3402
54	194	3349
55	195	3297
56	196	3246
57	196	3198
58	197	3152
59	198	3106
60	198	3062
61	199	3020
62	200	2979
63	201	2945
64	202	2907
65	202	2869
66	203	2833
67	203	2793
68	204	2759
69	205	2726
70	205	2693
71	206	2661
72	207	2631
73	207	2600
74	208	2574
75	209	2547
76	210	2520
77	210	2492
78	211	2465
79	212	2439
80	212	2414
81	213	2389
82	214	2365
83	214	2341
84	215	2316
85	216	2296
86	216	2273
87	217	2252
88	218	2232
89	218	2211
90	219	2191
91	220	2172
92	220	2153
93	221	2134
94	222	2115
95	222	2097
96	223	2081
97	224	2064
98	224	2047
99	225	2030
100	226	2015
101	226	1995
102	227	1980
103	228	1965
104	228	1950
105	229	1935
106	230	1921
107	230	1907
108	231	1894
109	232	1881
110	233	1868
111	233	1854
112	234	1841
113	235	1830
114	236	1818
115	236	1804
116	237	1792
117	238	1780
118	238	1768
119	239	1756
120	240	1745
121	240	1733
122	241	1719
123	241	1708
124	242	1697
125	243	1686
126	243	1675
127	244	1663
128	244	1652
129	245	1642
130	246	1632
131	246	1623
132	247	1613
133	248	1603
134	248	1593
135	249	1583
136	249	1574
137	250	1564
138	251	1555
139	251	1546
140	252	1537
141	253	1528
142	253	1520
143	254	1512
144	255	1504
145	255	1495
146	256	1487
147	257	1479
148	257	1471
149	258	1463
150	259	1456
151	259	1449
152	260	1442
153	261	1435
154	261	1427
155	262	1420
156	263	1413
157	263	1406
158	264	1399
159	265	1392
160	265	1385
161	266	1378
162	267	1371
163	267	1364
164	268	1358
165	269	1352
166	269	1345
167	270	1339
168	271	1333
169	271	1326
170	272	1320
171	272	1314
172	273	1307
173	274	1301
174	274	1295
175	275	1290
176	276	1284
177	277	1279
178	277	1274
179	278	1268
180	278	1261
181	279	1255
182	279	1249
183	280	1244
184	281	1239
185	281	1233
186	282	1228
187	283	1223
188	283	1218
189	284	1213
190	285	1207
191	285	1202
192	286	1197
193	287	1193
194	287	1188
195	288	1183
196	289	1178
197	289	1173
198	290	1169
199	291	1164
200	291	1159
201	292	1155
202	293	1150
203	293	1146
204	294	1141
205	295	1137
206	295	1132
207	296	1128
208	296	1123
209	297	1119
210	298	1115
211	299	1111
212	299	1107
213	300	1102
214	300	1098
215	301	1094
216	302	1090
217	302	1086
218	303	1082
219	304	1078
220	304	1074
221	305	1070
222	306	1066
223	306	1062
224	307	1058
225	308	1055
226	308	1051
227	309	1047
228	310	1043
229	310	1040
230	311	1036
231	311	1032
232	312	1029
233	313	1026
234	314	1022
235	314	1019
236	315	1015
237	316	1012
238	316	1008
239	317	1005
240	317	1001
241	318	997
242	319	994
243	319	991
244	320	988
245	321	985
246	322	982
247	322	978
248	323	975
249	324	972
250	324	969
251	325	965
252	325	962
253	326	959
254	327	956
255	327	953
256	328	950
257	329	946
258	329	943
259	330	940
260	331	937
261	331	934
262	332	931
263	333	928
264	333	925
265	334	922
266	335	919
267	335	916
268	336	914
269	336	911
270	337	908
271	338	905
272	339	902
273	339	900
274	340	897
275	341	894
276	341	891
277	342	889
278	343	886
279	343	883
280	344	881
281	344	878
282	345	875
283	346	872
284	346	870
285	347	867
286	348	864
287	348	862
288	349	859
289	350	857
290	350	854
291	351	852
292	352	849
293	352	846
294	353	844
295	353	841
296	354	839
297	355	836
298	355	834
299	356	831
300	357	829
301	357	827
302	358	824
303	359	822
304	359	819
305	360	817
306	361	815
307	361	812
308	362	810
309	363	808
310	363	805
311	364	803
312	365	801
313	365	798
314	366	796
315	367	794
316	367	792
317	368	790
318	369	787
319	369	785
320	370	783
321	370	781
322	371	778
323	372	776
324	372	774
325	373	772
326	374	770
327	374	768
328	375	766
329	376	764
