iter	Passed	Remaining
0	141	141081
1	142	70887
2	142	47483
3	143	35793
4	144	28767
5	145	24094
6	146	20735
7	147	18228
8	147	16272
9	148	14708
10	149	13463
11	150	12396
12	151	11487
13	152	10706
14	152	10026
15	153	9434
16	154	8909
17	154	8442
18	155	8028
19	156	7662
20	157	7327
21	157	7018
22	158	6741
23	159	6483
24	160	6244
25	160	6022
26	161	5817
27	162	5627
28	162	5451
29	163	5286
30	164	5133
31	165	4992
32	165	4863
33	166	4736
34	167	4614
35	168	4500
36	169	4402
37	170	4303
38	170	4209
39	171	4118
40	172	4031
41	173	3947
42	173	3867
43	174	3790
44	175	3715
45	175	3646
46	176	3580
47	177	3521
48	178	3461
49	179	3403
50	179	3346
51	180	3291
52	181	3238
53	181	3187
54	182	3137
55	183	3090
56	183	3044
57	184	3004
58	186	2969
59	187	2932
60	187	2891
61	188	2853
62	189	2816
63	190	2781
64	190	2745
65	192	2717
66	192	2687
67	193	2658
68	194	2627
69	195	2596
70	196	2566
71	196	2537
72	197	2510
73	198	2481
74	198	2454
75	200	2439
76	201	2414
77	202	2389
78	202	2364
79	203	2340
80	204	2316
81	204	2292
82	205	2266
83	205	2243
84	206	2221
85	207	2201
86	207	2181
87	208	2162
88	209	2143
89	210	2123
90	210	2104
91	211	2086
92	212	2068
93	212	2050
94	213	2034
95	214	2018
96	215	2002
97	215	1986
98	216	1970
99	217	1955
100	217	1939
101	218	1924
102	219	1910
103	220	1895
104	220	1881
105	221	1867
106	222	1854
107	222	1840
108	223	1827
109	224	1815
110	225	1802
111	225	1789
112	226	1776
113	226	1764
114	227	1752
115	228	1740
116	229	1728
117	229	1718
118	230	1707
119	231	1695
120	231	1684
121	232	1672
122	233	1661
123	233	1650
124	234	1639
125	234	1629
126	235	1617
127	236	1607
128	237	1606
129	238	1596
130	239	1586
131	239	1576
132	240	1567
133	241	1558
134	241	1549
135	242	1541
136	243	1532
137	244	1527
138	245	1520
139	246	1511
140	246	1503
141	247	1494
142	247	1486
143	248	1478
144	249	1469
145	249	1461
146	250	1454
147	251	1446
148	251	1439
149	252	1431
150	253	1424
151	254	1417
152	254	1410
153	255	1403
154	256	1395
155	256	1388
156	257	1381
157	257	1374
158	258	1367
159	259	1361
160	259	1353
161	260	1347
162	261	1340
163	261	1334
164	262	1327
165	263	1322
166	263	1315
167	264	1309
168	265	1303
169	265	1297
170	266	1291
171	267	1286
172	267	1280
173	268	1274
174	269	1268
175	269	1263
176	270	1257
177	271	1251
178	271	1246
179	272	1241
180	273	1235
181	273	1230
182	274	1225
183	275	1220
184	275	1215
185	276	1210
186	277	1206
187	278	1201
188	278	1196
189	279	1191
190	280	1186
191	280	1181
192	281	1177
193	282	1172
194	282	1168
195	283	1163
196	284	1159
197	285	1154
198	285	1150
199	286	1145
200	286	1140
201	287	1136
202	288	1131
203	288	1127
204	289	1123
205	290	1118
206	290	1114
207	291	1110
208	292	1106
209	293	1102
210	293	1098
211	294	1094
212	294	1089
213	295	1085
214	296	1081
215	297	1078
216	297	1074
217	298	1070
218	299	1066
219	299	1062
220	300	1058
221	301	1055
222	301	1051
223	302	1047
224	302	1043
225	303	1039
226	304	1036
227	305	1033
228	305	1029
229	306	1026
230	307	1022
231	307	1018
232	308	1015
233	309	1011
234	309	1008
235	310	1004
236	311	1002
237	311	998
238	312	995
239	313	991
240	313	988
241	314	984
242	315	981
243	315	977
244	316	974
245	316	971
246	317	968
247	318	965
248	319	962
249	319	958
250	320	955
251	320	952
252	321	949
253	322	946
254	322	942
255	323	939
256	323	936
257	324	933
258	325	930
259	325	927
260	326	924
261	327	922
262	328	919
263	329	917
264	329	914
265	330	911
266	331	908
267	331	905
268	332	903
269	333	900
270	333	897
271	334	895
272	335	892
273	335	889
274	336	887
275	337	884
276	337	881
277	338	879
278	339	876
279	339	874
280	340	871
281	341	869
282	342	866
283	342	864
284	343	861
285	344	858
286	344	856
287	345	853
288	345	851
289	346	848
290	347	846
291	348	844
292	348	841
293	349	839
294	350	837
295	351	834
296	351	832
297	352	830
298	353	827
299	353	825
300	354	823
301	355	820
302	355	818
303	356	816
304	357	814
305	358	812
306	358	809
307	359	807
308	360	805
309	360	803
310	361	801
311	362	798
312	362	796
313	363	793
314	364	791
315	364	789
316	365	787
317	366	785
318	366	783
319	367	780
320	368	778
321	368	776
322	369	774
323	369	771
324	370	769
325	371	767
326	371	765
327	372	763
328	373	761
329	373	758
330	374	756
331	374	754
332	375	752
333	376	749
334	376	747
335	377	745
336	377	743
337	378	741
338	379	739
339	379	737
340	380	735
341	380	733
342	381	730
343	382	728
344	382	726
345	383	724
346	383	722
347	384	720
348	385	718
349	385	716
350	386	714
351	387	712
352	387	711
353	388	709
354	389	707
355	389	705
356	390	703
357	391	701
358	391	699
359	392	697
360	393	695
361	393	693
362	394	691
363	394	690
364	395	688
365	396	686
366	396	684
367	397	682
368	398	680
369	398	678
370	399	676
371	399	674
372	400	673
373	401	671
374	401	669
375	402	667
376	402	665
377	403	663
378	404	662
379	404	660
380	405	658
381	405	656
382	406	655
383	407	653
384	407	651
385	408	650
386	409	648
387	409	646
388	410	644
389	411	642
390	411	641
391	412	639
392	412	637
393	413	635
394	414	634
395	414	632
396	415	630
397	415	628
398	416	627
399	417	625
400	417	624
401	418	622
402	419	621
403	419	619
404	420	617
405	421	616
406	421	614
407	422	612
408	422	610
409	423	609
410	424	607
411	424	606
412	425	604
413	426	603
414	426	601
415	427	599
416	427	598
417	428	596
418	428	594
419	429	593
420	430	591
421	430	589
422	431	588
423	431	586
424	432	585
425	433	583
426	433	581
427	434	580
428	434	578
429	435	577
430	435	575
431	436	573
432	437	572
433	437	570
434	438	569
435	438	567
436	439	566
437	440	564
438	440	563
439	441	561
440	442	560
441	442	558
442	443	557
443	443	555
444	444	554
445	445	552
446	445	551
447	446	550
448	447	548
449	447	547
450	448	545
451	449	544
452	449	543
453	450	541
454	451	540
455	451	538
456	452	537
457	452	535
458	453	534
459	454	533
460	454	531
461	455	530
462	456	529
463	456	527
464	457	526
465	458	525
466	458	523
467	459	522
468	459	520
469	460	519
470	461	518
471	462	517
472	462	515
473	463	514
474	464	512
475	464	511
476	465	510
477	465	508
478	466	507
479	467	506
480	467	504
481	468	503
482	469	502
483	469	500
484	470	499
485	470	498
486	471	496
487	472	495
488	472	494
489	473	492
490	474	491
491	474	490
492	475	489
493	476	487
494	476	486
495	477	485
496	478	483
497	478	482
498	479	481
499	479	479
500	480	478
501	481	477
502	481	475
503	482	474
504	482	473
505	483	472
506	484	470
507	484	469
508	485	468
509	486	467
510	486	465
511	487	464
512	488	463
513	488	461
514	489	460
515	489	459
516	490	458
517	491	457
518	491	455
519	492	454
520	493	453
521	493	452
522	494	450
523	494	449
524	495	448
525	496	447
526	497	446
527	497	444
528	498	443
529	499	442
530	499	441
531	500	440
532	500	438
533	501	437
534	502	436
535	502	435
536	503	434
537	504	433
538	504	431
539	505	430
540	506	429
541	507	428
542	507	427
543	508	426
544	508	424
545	509	423
546	510	422
547	511	421
548	511	420
549	512	419
550	513	418
551	513	417
552	514	415
553	515	414
554	515	413
555	516	412
556	517	411
557	517	410
558	518	408
559	519	407
560	519	406
561	520	405
562	520	404
563	521	403
564	522	402
565	522	400
566	523	399
567	524	398
568	524	397
569	525	396
570	527	396
571	528	395
572	529	394
573	529	393
574	531	392
575	532	391
576	533	390
577	533	389
578	534	388
579	535	387
580	537	387
581	538	386
582	539	385
583	539	384
584	540	383
585	541	382
586	542	381
587	542	380
588	543	379
589	544	378
590	545	377
591	546	376
592	547	375
593	548	374
594	548	373
595	549	372
596	550	371
597	551	370
598	552	369
599	553	369
600	554	368
601	555	367
602	555	365
603	556	364
604	557	363
605	557	362
606	558	361
607	559	360
608	560	360
609	561	359
610	562	358
611	563	356
612	563	355
613	564	355
614	565	354
615	566	353
616	567	352
617	567	350
618	568	349
619	568	348
620	569	347
621	570	346
622	570	345
623	571	344
624	571	343
625	572	342
626	573	341
627	574	340
628	575	339
629	576	338
630	577	337
631	578	336
632	579	335
633	580	335
634	581	334
635	582	333
636	583	332
637	584	331
638	585	330
639	586	329
640	586	328
641	587	327
642	587	326
643	588	325
644	589	324
645	589	323
646	590	322
647	591	321
648	591	320
649	592	318
650	592	317
651	593	316
652	594	315
653	594	314
654	595	313
655	596	312
656	596	311
657	597	310
658	598	309
659	598	308
660	599	307
661	600	306
662	600	305
663	601	304
664	601	303
665	602	302
666	603	301
667	603	300
668	604	299
669	605	298
670	605	297
671	606	295
672	606	294
673	607	293
674	608	292
675	608	291
676	609	290
677	609	289
678	610	288
679	611	287
680	611	286
681	612	285
682	612	284
683	613	283
684	613	282
685	614	281
686	614	280
687	615	279
688	616	278
689	616	277
690	617	275
691	617	274
692	618	273
693	618	272
694	619	271
695	620	270
696	620	269
697	621	268
698	621	267
699	622	266
700	622	265
701	623	264
702	623	263
703	624	262
704	625	261
705	625	260
706	626	259
707	626	258
708	627	257
709	628	256
710	628	255
711	629	254
712	629	253
713	630	252
714	630	251
715	631	250
716	632	249
717	632	248
718	633	247
719	633	246
720	634	245
721	635	244
722	635	243
723	636	242
724	636	241
725	637	240
726	637	239
727	638	238
728	638	237
729	639	236
730	640	235
731	640	234
732	641	233
733	642	232
734	642	231
735	643	230
736	643	229
737	644	228
738	645	227
739	645	226
